Id,Price
4567,163835.79080401963
5925,123433.22046757078
960,140207.7777460961
3848,171463.0740340497
746,176692.22648453183
868,355379.27169348806
672,123774.20575477464
2471,200552.97116680068
4510,126921.83118665384
8354,249600.10254028163
6393,181317.78289766132
13270,230522.1789489412
5250,233902.6228740178
16751,171159.82286028867
11404,129161.86550909633
10588,334550.7772419677
14925,193519.1822989887
6791,246261.67200382784
16097,221657.9522955846
16428,358162.1906342682
6945,348674.87378791074
3190,187879.64415890042
15709,467775.1862747925
13155,185015.96496084973
7675,203971.94594185625
14686,219238.8687043548
609,170629.89485851568
11155,130354.79078064933
10869,203442.98271955407
15742,181867.75467233936
9245,185904.00511064776
3340,183856.9627145024
2359,274002.9929902323
8070,210997.79287798508
13707,131421.25846374524
16079,259486.0378663141
15937,240529.1836705744
14090,174966.00408445756
9008,220013.58794622825
16384,188386.0833822265
11657,256622.47036799885
13151,149422.17819079992
8990,194429.86189024328
11857,188946.06002252243
1565,162934.54919073937
8174,121985.53699844265
9247,246893.69873848167
10478,213662.59663129278
15509,147627.47714480077
8306,198597.90894757456
6642,188691.59080153893
7472,200791.6106310197
15989,135349.00743776376
13682,134737.5892279623
163,261352.99450685247
7076,172316.2605799234
7478,346550.6173845377
3029,189503.93197750123
1814,150047.43080236885
10057,145900.84913628313
15100,195246.89052171618
12694,237961.60398503064
6291,177835.21719460672
12603,196522.56352085882
3218,251768.9276152591
13456,132232.05789716332
10170,248525.75856907121
4530,142540.71309168453
13329,164649.71991529563
4820,139961.13695109411
10896,168494.14342017443
13416,112319.57953469125
2701,221903.30227531705
11265,317479.38151766657
9189,272947.2105990329
1858,182785.23739833088
14536,237824.27673129403
6199,314866.0608296154
14730,156710.7948018096
7510,271177.84984820185
15505,167592.33220976684
7446,179780.75364504126
14016,183500.01434251422
14113,112461.34130472282
8721,291248.1907167539
6193,271134.5063834192
5717,179117.80885842477
5427,289593.2839231126
9520,563692.4050212457
6869,102573.24245119696
1658,150210.14701059696
6639,221228.0533264452
6283,188638.9734039893
6257,124800.68996097398
15235,190871.27919468554
902,212550.44255496134
8932,198387.58441008723
16469,331438.8420806596
2825,250159.96013622798
6450,432906.95315520524
11366,180261.18475780837
3801,327399.5026653867
11385,219618.51210151537
1079,204445.44101347338
3202,241114.25728493958
676,205233.13693736985
6185,255564.3253482216
7730,162146.9676354309
2573,179796.14326211068
10978,209090.25122032012
10962,249318.90995269496
8870,208874.2406189174
8496,177498.17598912457
5517,174387.9548682174
927,187628.6533910409
13675,192774.27607468213
1499,224022.97823575896
15536,320322.4727625988
8602,339563.33621716686
12137,393437.88432027714
9865,258162.40367226422
16353,285945.9380898937
15908,226549.63381197944
3944,178252.06526934035
10359,206140.3995413467
15158,231993.90952439734
3259,262483.6999041319
7220,332011.01317816443
13843,213510.7430162519
16736,175592.97244866408
702,246501.0593290087
16401,98545.63997739146
12134,177770.21275271458
6918,205496.25369668144
11792,129241.38302377956
3798,141262.15547544847
10395,124124.62326228453
11099,121973.74575106082
7090,194958.7352821748
11260,197333.05671753065
9647,208598.53722938526
2903,359175.04492684605
2071,183497.05706306905
8604,198058.75427280902
9346,204114.96318864054
3945,214356.131122391
3420,141981.83257097792
10842,128881.35944691047
